movie_title,title_year,genre,gross
Star Trek Into Darkness,2013,Adventure,228756232
Jack the Giant Slayer,2013,Fantasy,65171860
The Great Gatsby,2013,Drama,144812796
Prince of Persia: The Sands of Time,2010,Romance,90755643
Pacific Rim,2013,Action,101785482
Transformers: Dark of the Moon,2011,Sci-Fi,352358779
Indiana Jones and the Kingdom of the Crystal Skull,2008,Action,317011114
Brave,2012,Family,237282182
Star Trek Beyond,2016,Thriller,130468626
WALL·E,2008,Animation,223806889
Rush Hour 3,2007,Action,140080850
2012,2009,Action,166112167
A Christmas Carol,2009,Fantasy,137850096
Jupiter Ascending,2015,Sci-Fi,47375327
The Legend of Tarzan,2016,Romance,124051759
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,Adventure,291709845
X-Men: Apocalypse,2016,Adventure,154985087
The Dark Knight,2008,Thriller,533316061
Up,2009,Family,292979556
Monsters vs. Aliens,2009,Action,198332128
Iron Man,2008,Action,318298180
Hugo,2011,Family,73820094
Wild Wild West,1999,Sci-Fi,113745408
The Mummy: Tomb of the Dragon Emperor,2008,Fantasy,102176165
Suicide Squad,2016,Adventure,161087183
Evan Almighty,2007,Family,100289690
Edge of Tomorrow,2014,Adventure,100189501
Waterworld,1995,Sci-Fi,88246220
G.I. Joe: The Rise of Cobra,2009,Sci-Fi,150167630
Inside Out,2015,Comedy,356454367
The Jungle Book,2016,Drama,362645141
Iron Man 2,2010,Sci-Fi,312057433
Snow White and the Huntsman,2012,Action,155111815
Maleficent,2014,Fantasy,241407328
Dawn of the Planet of the Apes,2014,Drama,208543795
47 Ronin,2013,Fantasy,38297305
Captain America: The Winter Soldier,2014,Action,259746958
Shrek Forever After,2010,Animation,238371987
Tomorrowland,2015,Action,93417865
Big Hero 6,2014,Adventure,222487711
Wreck-It Ralph,2012,Sci-Fi,189412677
The Polar Express,2004,Animation,665426
Independence Day: Resurgence,2016,Adventure,102315545
How to Train Your Dragon,2010,Adventure,217387997
Terminator 3: Rise of the Machines,2003,Action,150350192
Guardians of the Galaxy,2014,Adventure,333130696
Interstellar,2014,Drama,187991439
Inception,2010,Sci-Fi,292568851
The Fast and the Furious,2001,Crime,144512310
The Curious Case of Benjamin Button,2008,Drama,127490802
X-Men: First Class,2011,Sci-Fi,146405371
The Hunger Games: Mockingjay - Part 2,2015,Sci-Fi,281666058
The Sorcerer's Apprentice,2010,Adventure,63143812
Poseidon,2006,Action,60655503
Alice Through the Looking Glass,2016,Fantasy,76846624
Shrek the Third,2007,Comedy,320706665
Warcraft,2016,Fantasy,46978995
Terminator Genisys,2015,Adventure,89732035
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,Adventure,104383624
Pearl Harbor,2001,War,198539855
Transformers,2007,Action,318759914
Alexander,2004,Biography,34293771
Harry Potter and the Order of the Phoenix,2007,Family,292000866
Harry Potter and the Goblet of Fire,2005,Family,289994397
Hancock,2008,Action,227946274
I Am Legend,2007,Sci-Fi,256386216
Charlie and the Chocolate Factory,2005,Adventure,206456431
Ratatouille,2007,Comedy,206435493
Batman Begins,2005,Adventure,205343774
Madagascar: Escape 2 Africa,2008,Comedy,179982968
Night at the Museum: Battle of the Smithsonian,2009,Comedy,177243721
X-Men Origins: Wolverine,2009,Thriller,179883016
The Matrix Revolutions,2003,Action,139259759
Frozen,2013,Adventure,400736600
The Matrix Reloaded,2003,Action,281492479
Thor: The Dark World,2013,Adventure,206360018
Mad Max: Fury Road,2015,Action,153629485
Angels & Demons,2009,Mystery,133375846
Thor,2011,Fantasy,181015141
Bolt,2008,Comedy,114053579
G-Force,2009,Fantasy,119420252
Wrath of the Titans,2012,Adventure,83640426
Dark Shadows,2012,Horror,79711678
Mission: Impossible - Rogue Nation,2015,Thriller,195000874
The Wolfman,2010,Drama,61937495
The Legend of Tarzan,2016,Adventure,124051759
Bee Movie,2007,Family,126597121
Kung Fu Panda 2,2011,Action,165230261
The Last Airbender,2010,Action,131564731
Mission: Impossible III,2006,Adventure,133382309
White House Down,2013,Thriller,73103784
Mars Needs Moms,2011,Family,21379315
Flushed Away,2006,Family,64459316
Pan,2015,Adventure,34964818
Mr. Peabody & Sherman,2014,Adventure,111505642
Troy,2004,Adventure,133228348
Madagascar 3: Europe's Most Wanted,2012,Family,216366733
Die Another Day,2002,Thriller,160201106
Ghostbusters,2016,Action,118099659
Armageddon,1998,Sci-Fi,201573391
Men in Black II,2002,Action,190418803
Beowulf,2007,Adventure,82161969
Kung Fu Panda 3,2016,Comedy,143523463
Mission: Impossible - Ghost Protocol,2011,Action,209364921
Rise of the Guardians,2012,Fantasy,103400692
Fun with Dick and Jane,2005,Comedy,110332737
The Last Samurai,2003,Action,111110575
Exodus: Gods and Kings,2014,Drama,65007045
Star Trek,2009,Sci-Fi,257704099
Spider-Man,2002,Romance,403706375
How to Train Your Dragon 2,2014,Action,176997107
Gods of Egypt,2016,Action,31141074
Stealth,2005,Adventure,31704416
Watchmen,2009,Mystery,107503316
Lethal Weapon 4,1998,Thriller,129734803
Hulk,2003,Sci-Fi,132122995
G.I. Joe: Retaliation,2013,Thriller,122512052
Sahara,2005,Comedy,68642452
Final Fantasy: The Spirits Within,2001,Animation,32131830
Captain America: The First Avenger,2011,Adventure,176636816
The World Is Not Enough,1999,Adventure,126930660
Master and Commander: The Far Side of the World,2003,Adventure,93926386
The Twilight Saga: Breaking Dawn - Part 2,2012,Drama,292298923
Happy Feet 2,2011,Musical,63992328
The Incredible Hulk,2008,Adventure,134518390
The BFG,2016,Family,52792307
The Revenant,2015,Drama,183635922
Turbo,2013,Animation,83024900
Rango,2011,Adventure,123207194
Penguins of Madagascar,2014,Animation,83348920
The Bourne Ultimatum,2007,Thriller,227137090
Kung Fu Panda,2008,Animation,215395021
Ant-Man,2015,Action,180191634
The Hunger Games: Catching Fire,2013,Thriller,424645577
The Twilight Saga: Breaking Dawn - Part 2,2012,Adventure,292298923
Home,2015,Sci-Fi,177343675
War of the Worlds,2005,Adventure,234277056
Bad Boys II,2003,Crime,138396624
Puss in Boots,2011,Family,149234747
Salt,2010,Crime,118311368
Noah,2014,Adventure,101160529
The Adventures of Tintin,2011,Action,77564037
Harry Potter and the Prisoner of Azkaban,2004,Adventure,249358727
Australia,2008,Romance,49551662
After Earth,2013,Action,60522097
Dinosaur,2000,Animation,137748063
Night at the Museum: Secret of the Tomb,2014,Fantasy,113733726
Megamind,2010,Sci-Fi,148337537
Harry Potter and the Sorcerer's Stone,2001,Adventure,317557891
R.I.P.D.,2013,Comedy,33592415
Pirates of the Caribbean: The Curse of the Black Pearl,2003,Adventure,305388685
The Hunger Games: Mockingjay - Part 1,2014,Thriller,337103873
The Da Vinci Code,2006,Thriller,217536138
Rio 2,2014,Comedy,131536019
X-Men 2,2003,Thriller,214948780
Fast Five,2011,Crime,209805005
Sherlock Holmes: A Game of Shadows,2011,Action,186830669
Clash of the Titans,2010,Fantasy,163192114
Total Recall,1990,Sci-Fi,119412921
The 13th Warrior,1999,Adventure,32694788
The Bourne Legacy,2012,Action,113165635
Batman & Robin,1997,Action,107285004
How the Grinch Stole Christmas,2000,Fantasy,260031035
The Day After Tomorrow,2004,Sci-Fi,186739919
Mission: Impossible II,2000,Thriller,215397307
The Perfect Storm,2000,Action,182618434
Fantastic 4: Rise of the Silver Surfer,2007,Sci-Fi,131920333
Life of Pi,2012,Adventure,124976634
Ghost Rider,2007,Fantasy,115802596
Jason Bourne,2016,Thriller,108521835
Charlie's Angels: Full Throttle,2003,Action,100685880
Prometheus,2012,Sci-Fi,126464904
Stuart Little 2,2002,Comedy,64736114
Elysium,2013,Thriller,93050117
The Chronicles of Riddick,2004,Sci-Fi,57637485
RoboCop,2014,Crime,58607007
Speed Racer,2008,Action,43929341
How Do You Know,2010,Comedy,30212620
Knight and Day,2010,Comedy,76418654
Oblivion,2013,Adventure,89021735
Star Wars: Episode III - Revenge of the Sith,2005,Sci-Fi,380262555
Star Wars: Episode II - Attack of the Clones,2002,Fantasy,310675583
"Monsters, Inc.",2001,Family,289907418
The Wolverine,2013,Thriller,132550960
Star Wars: Episode I - The Phantom Menace,1999,Adventure,474544677
The Croods,2013,Comedy,187165546
Windtalkers,2002,War,40911830
The Huntsman: Winter's War,2016,Drama,47952020
Teenage Mutant Ninja Turtles,2014,Action,190871240
Gravity,2013,Drama,274084951
Dante's Peak,1997,Thriller,67155742
Fantastic Four,2015,Action,56114221
Night at the Museum,2006,Fantasy,250863268
San Andreas,2015,Action,155181732
Tomorrow Never Dies,1997,Adventure,125332007
The Patriot,2000,Drama,113330342
Ocean's Twelve,2004,Thriller,125531634
Mr. & Mrs. Smith,2005,Comedy,186336103
Insurgent,2015,Adventure,129995817
The Aviator,2004,Biography,102608827
Gulliver's Travels,2010,Fantasy,42776259
The Green Hornet,2011,Comedy,98780042
300: Rise of an Empire,2014,Fantasy,106369117
The Smurfs,2011,Fantasy,142614158
Home on the Range,2004,Family,50026353
Allegiant,2016,Adventure,66002193
Real Steel,2011,Action,85463309
The Smurfs 2,2013,Fantasy,71017784
Speed 2: Cruise Control,1997,Romance,48068396
Ender's Game,2013,Action,61656849
Live Free or Die Hard,2007,Adventure,134520804
The Lord of the Rings: The Fellowship of the Ring,2001,Action,313837577
Around the World in 80 Days,2004,Action,24004159
Ali,2001,Sport,58183966
The Cat in the Hat,2003,Family,100446895
"I, Robot",2004,Action,144795350
Kingdom of Heaven,2005,History,47396698
Stuart Little,1999,Adventure,140015224
The Princess and the Frog,2009,Family,104374107
The Martian,2015,Drama,228430993
The Island,2005,Thriller,35799026
Town & Country,2001,Comedy,6712451
Gone in Sixty Seconds,2000,Crime,101643008
Gladiator,2000,Drama,187670866
Minority Report,2002,Thriller,132014112
Harry Potter and the Chamber of Secrets,2002,Family,261970615
Casino Royale,2006,Thriller,167007184
Planet of the Apes,2001,Sci-Fi,180011740
Terminator 2: Judgment Day,1991,Action,204843350
Public Enemies,2009,Romance,97030725
American Gangster,2007,Drama,130127620
True Lies,1994,Action,146282411
The Taking of Pelham 1 2 3,2009,Action,65452312
Little Fockers,2010,Romance,148383780
The Other Guys,2010,Action,119219978
Eraser,1996,Action,101228120
Django Unchained,2012,Drama,162804648
The Hunchback of Notre Dame,1996,Romance,100117603
The Emperor's New Groove,2000,Adventure,89296573
The Expendables 2,2012,Thriller,85017401
National Treasure,2004,Comedy,173005002
Eragon,2006,Action,75030163
Where the Wild Things Are,2009,Drama,77222184
Pan,2015,Family,34964818
Epic,2013,Adventure,107515297
The Tourist,2010,Thriller,67631157
End of Days,1999,Action,66862068
Blood Diamond,2006,Adventure,57366262
The Wolf of Wall Street,2013,Comedy,116866727
Batman Forever,1995,Adventure,184031112
Starship Troopers,1997,Sci-Fi,54700065
Cloud Atlas,2012,Sci-Fi,27098580
Legend of the Guardians: The Owls of Ga'Hoole,2010,Adventure,55673333
Catwoman,2004,Fantasy,40198710
Hercules,2014,Adventure,72660029
Treasure Planet,2002,Animation,38120554
Land of the Lost,2009,Adventure,49392095
The Expendables 3,2014,Action,39292022
Point Break,2015,Action,28772222
Son of the Mask,2005,Family,17010646
In the Heart of the Sea,2015,Action,24985612
The Adventures of Pluto Nash,2002,Sci-Fi,4411102
Green Zone,2010,Thriller,35024475
The Peanuts Movie,2015,Adventure,130174897
The Spanish Prisoner,1997,Mystery,10200000
The Mummy Returns,2001,Fantasy,202007640
Gangs of New York,2002,Drama,77679638
The Flowers of War,2011,Drama,9213
Surf's Up,2007,Comedy,58867694
The Stepford Wives,2004,Comedy,59475623
Black Hawk Down,2001,War,108638745
The Campaign,2012,Comedy,86897182
The Fifth Element,1997,Adventure,63540020
Sex and the City 2,2010,Comedy,95328937
The Road to El Dorado,2000,Comedy,50802661
Ice Age: Continental Drift,2012,Adventure,161317423
Cinderella,2015,Romance,201148159
The Lovely Bones,2009,Drama,43982842
Finding Nemo,2003,Comedy,380838870
The Lord of the Rings: The Return of the King,2003,Drama,377019252
The Lord of the Rings: The Two Towers,2002,Action,340478898
Seventh Son,2014,Adventure,17176900
Lara Croft: Tomb Raider,2001,Thriller,131144183
Transcendence,2014,Thriller,23014504
Jurassic Park III,2001,Thriller,181166115
Rise of the Planet of the Apes,2011,Action,176740650
The Spiderwick Chronicles,2008,Family,71148699
A Good Day to Die Hard,2013,Thriller,67344392
The Alamo,2004,Western,22406362
The Incredibles,2004,Adventure,261437578
Cutthroat Island,1995,Adventure,11000000
Percy Jackson & the Olympians: The Lightning Thief,2010,Family,88761720
Men in Black,1997,Family,250147615
Toy Story 2,1999,Comedy,245823397
Unstoppable,2010,Thriller,81557479
Rush Hour 2,2001,Comedy,226138454
What Lies Beneath,2000,Fantasy,155370362
Cloudy with a Chance of Meatballs,2009,Family,124870275
Ice Age: Dawn of the Dinosaurs,2009,Family,196573705
The Secret Life of Walter Mitty,2013,Fantasy,58229120
Charlie's Angels,2000,Action,125305545
The Departed,2006,Crime,132373442
Mulan,1998,Fantasy,120618403
Tropic Thunder,2008,Action,110416702
The Girl with the Dragon Tattoo,2011,Drama,102515793
Die Hard with a Vengeance,1995,Adventure,100012500
Sherlock Holmes,2009,Adventure,209019489
Atlantis: The Lost Empire,2001,Action,84037039
Alvin and the Chipmunks: The Road Chip,2015,Animation,85884815
Valkyrie,2008,History,83077470
You Don't Mess with the Zohan,2008,Comedy,100018837
Pixels,2015,Animation,78747585
A.I. Artificial Intelligence,2001,Drama,78616689
The Haunted Mansion,2003,Comedy,75817994
Contact,1997,Drama,100853835
Hollow Man,2000,Action,73209340
The Interpreter,2005,Crime,72515360
Percy Jackson: Sea of Monsters,2013,Fantasy,68558662
Lara Croft Tomb Raider: The Cradle of Life,2003,Fantasy,65653758
Now You See Me 2,2016,Comedy,64685359
The Saint,1997,Action,61355436
Spy Game,2001,Thriller,26871
Mission to Mars,2000,Thriller,60874615
Rio,2011,Adventure,143618384
Bicentennial Man,1999,Comedy,58220776
Volcano,1997,Action,47474112
The Devil's Own,1997,Thriller,42877165
K-19: The Widowmaker,2002,History,35168677
Fantastic Four,2015,Sci-Fi,56114221
Conan the Barbarian,1982,Fantasy,37567440
Cinderella Man,2005,Drama,61644321
The Nutcracker in 3D,2010,Fantasy,190562
Seabiscuit,2003,History,120147445
Twister,1996,Adventure,241688385
The Fast and the Furious,2001,Thriller,144512310
Cast Away,2000,Adventure,233630478
Happy Feet,2006,Music,197992827
The Bourne Supremacy,2004,Mystery,176049130
Air Force One,1997,Drama,172620724
Ocean's Eleven,2001,Crime,183405771
The Three Musketeers,2011,Romance,20315324
Hotel Transylvania,2012,Animation,148313048
Enchanted,2007,Animation,127706877
Safe House,2012,Thriller,126149655
102 Dalmatians,2000,Adventure,66941559
Tower Heist,2011,Action,78009155
The Holiday,2006,Romance,63224849
Enemy of the State,1998,Drama,111544445
It's Complicated,2009,Drama,112703470
Ocean's Thirteen,2007,Crime,117144465
Open Season,2006,Animation,84303558
Divergent,2014,Mystery,150832203
Enemy at the Gates,2001,War,51396781
The Rundown,2003,Action,47592825
Last Action Hero,1993,Comedy,50016394
Memoirs of a Geisha,2005,Drama,57010853
The Fast and the Furious: Tokyo Drift,2006,Action,62494975
Arthur Christmas,2011,Fantasy,46440491
Meet Joe Black,1998,Drama,44606335
Collateral Damage,2002,Drama,40048332
Mirror Mirror,2012,Adventure,64933670
Scott Pilgrim vs. the World,2010,Romance,31494270
The Core,2003,Action,31111260
Nutty Professor II: The Klumps,2000,Sci-Fi,123307945
Scooby-Doo,2002,Comedy,153288182
Dredd,2012,Action,13401683
Click,2006,Comedy,137340146
Cats & Dogs: The Revenge of Kitty Galore,2010,Action,43575716
Jumper,2008,Adventure,80170146
Hellboy II: The Golden Army,2008,Sci-Fi,75754670
Zodiac,2007,Mystery,33048353
The 6th Day,2000,Sci-Fi,34543701
Bruce Almighty,2003,Comedy,242589580
The Expendables,2010,Action,102981571
Mission: Impossible,1996,Adventure,180965237
The Hunger Games,2012,Sci-Fi,407999255
The Hangover Part II,2011,Comedy,254455986
Batman Returns,1992,Action,162831698
Over the Hedge,2006,Animation,155019340
Lilo & Stitch,2002,Family,145771527
Deep Impact,1998,Thriller,140459099
RED 2,2013,Crime,53215979
The Longest Yard,2005,Sport,158115031
Alvin and the Chipmunks: Chipwrecked,2011,Animation,133103929
Grown Ups 2,2013,Comedy,133668525
Get Smart,2008,Comedy,130313314
Something's Gotta Give,2003,Comedy,124590960
Shutter Island,2010,Mystery,127968405
Four Christmases,2008,Comedy,120136047
Robots,2005,Adventure,128200012
Face/Off,1997,Thriller,112225777
Bedtime Stories,2008,Romance,109993847
Road to Perdition,2002,Crime,104054514
Just Go with It,2011,Comedy,103028109
Con Air,1997,Action,101087161
Eagle Eye,2008,Action,101111837
Cold Mountain,2003,History,95632614
The Book of Eli,2010,Thriller,94822707
Flubber,1997,Sci-Fi,92969824
The Haunting,1999,Mystery,91188905
Space Jam,1996,Fantasy,90443603
The Pink Panther,2006,Comedy,82226474
The Day the Earth Stood Still,2008,Sci-Fi,79363785
Conspiracy Theory,1997,Thriller,76081498
Fury,2014,War,85707116
Six Days Seven Nights,1998,Comedy,74329966
Yogi Bear,2010,Family,100169068
Spirit: Stallion of the Cimarron,2002,Animation,73215310
Zookeeper,2011,Family,80360866
Lost in Space,1998,Action,69102910
The Manchurian Candidate,2004,Mystery,65948711
Hotel Transylvania 2,2015,Animation,169692572
Fantasia 2000,1999,Music,60507228
The Time Machine,2002,Adventure,56684819
Mighty Joe Young,1998,Thriller,50628009
Swordfish,2001,Action,69772969
The Legend of Zorro,2005,Action,45356386
What Dreams May Come,1998,Romance,55350897
Little Nicky,2000,Fantasy,39442871
The Brothers Grimm,2005,Adventure,37899638
Mars Attacks!,1996,Sci-Fi,37754208
Surrogates,2009,Sci-Fi,38542418
Thirteen Days,2000,History,34566746
Daylight,1996,Thriller,32885565
Walking with Dinosaurs 3D,2013,Animation,36073232
Battlefield Earth,2000,Adventure,21471685
Looney Tunes: Back in Action,2003,Family,20950820
Nine,2009,Romance,19673424
Timeline,2003,Adventure,19480739
The Postman,1997,Adventure,17593391
Babe: Pig in the City,1998,Fantasy,18318000
The Last Witch Hunter,2015,Fantasy,27356090
Red Planet,2000,Action,17473245
Arthur and the Invisibles,2006,Animation,15131330
Oceans,2009,Documentary,19406406
A Sound of Thunder,2005,Horror,1891821
Pompeii,2014,History,23219748
A Beautiful Mind,2001,Drama,170708996
The Lion King,1994,Animation,422783777
Journey 2: The Mysterious Island,2012,Adventure,103812241
Cloudy with a Chance of Meatballs 2,2013,Fantasy,119793567
Red Dragon,2002,Drama,92930005
Hidalgo,2004,Western,67286731
Jack and Jill,2011,Comedy,74158157
2 Fast 2 Furious,2003,Crime,127083765
The Little Prince,2015,Family,1339152
The Invasion,2007,Thriller,15071514
The Adventures of Rocky & Bullwinkle,2000,Family,26000610
The Secret Life of Pets,2016,Family,323505540
The League of Extraordinary Gentlemen,2003,Adventure,66462600
Despicable Me 2,2013,Sci-Fi,368049635
Independence Day,1996,Adventure,306124059
The Lost World: Jurassic Park,1997,Sci-Fi,229074524
Madagascar,2005,Comedy,193136719
Children of Men,2006,Thriller,35286428
X-Men,2000,Adventure,157299717
Wanted,2008,Action,134568845
The Rock,1996,Action,134006721
Ice Age: The Meltdown,2006,Action,195329763
50 First Dates,2004,Comedy,120776832
Hairspray,2007,Drama,118823091
Exorcist: The Beginning,2004,Mystery,41814863
Inspector Gadget,1999,Action,97360069
Now You See Me,2013,Thriller,117698894
Grown Ups,2010,Comedy,162001186
The Terminal,2004,Comedy,77032279
Hotel for Dogs,2009,Family,73023275
Vertical Limit,2000,Action,68473360
Charlie Wilson's War,2007,Comedy,66636385
Shark Tale,2004,Comedy,160762022
Dreamgirls,2006,Musical,103338338
Be Cool,2005,Crime,55808744
Munich,2005,Thriller,47379090
Tears of the Sun,2003,Action,43426961
Killers,2010,Comedy,47000485
The Man from U.N.C.L.E.,2015,Adventure,45434443
Spanglish,2004,Drama,42044321
Monster House,2006,Mystery,73661010
Bandits,2001,Comedy,41523271
First Knight,1995,Action,37600435
Anna and the King,1999,Drama,39251128
Immortals,2011,Drama,83503161
Hostage,2005,Action,34636443
Titan A.E.,2000,Adventure,22751979
Hollywood Homicide,2003,Thriller,30013346
Soldier,1998,Drama,14567883
Monkeybone,2001,Animation,5409517
Flight of the Phoenix,2004,Thriller,21009180
Unbreakable,2000,Drama,94999143
Minions,2015,Comedy,336029560
Sucker Punch,2011,Action,36381716
Snake Eyes,1998,Thriller,55585389
Sphere,1998,Drama,36976367
The Angry Birds Movie,2016,Comedy,107225164
Fool's Gold,2008,Adventure,70224196
Funny People,2009,Comedy,51814190
The Kingdom,2007,Thriller,47456450
Talladega Nights: The Ballad of Ricky Bobby,2006,Action,148213377
Dr. Dolittle 2,2001,Comedy,112950721
Braveheart,1995,History,75600000
Jarhead,2005,Action,62647540
The Simpsons Movie,2007,Comedy,183132370
The Majestic,2001,Drama,27796042
Driven,2001,Drama,32616869
Two Brothers,2004,Family,18947630
The Village,2004,Drama,114195633
Doctor Dolittle,1998,Comedy,144156464
Signs,2002,Sci-Fi,227965690
Shrek 2,2004,Comedy,436471036
Cars,2006,Comedy,244052771
Runaway Bride,1999,Romance,152149590
xXx,2002,Action,141204016
The SpongeBob Movie: Sponge Out of Water,2015,Family,162495848
Ransom,1996,Crime,136448821
Inglourious Basterds,2009,War,120523073
Hook,1991,Comedy,119654900
Hercules,2014,Adventure,72660029
Die Hard 2,1990,Action,117541000
S.W.A.T.,2003,Thriller,116643346
Vanilla Sky,2001,Thriller,100614858
Lady in the Water,2006,Mystery,42272747
AVP: Alien vs. Predator,2004,Thriller,80281096
Alvin and the Chipmunks: The Squeakquel,2009,Music,219613391
We Were Soldiers,2002,Action,78120196
Olympus Has Fallen,2013,Action,98895417
Star Trek: Insurrection,1998,Adventure,70117571
Battle Los Angeles,2011,Sci-Fi,83552429
Big Fish,2003,Drama,66257002
Wolf,1994,Horror,65012000
War Horse,2011,Drama,79883359
The Monuments Men,2014,War,78031620
The Abyss,1989,Thriller,54222000
Wall Street: Money Never Sleeps,2010,Drama,52474616
Dracula Untold,2014,Fantasy,55942830
The Siege,1998,Thriller,40932372
Stardust,2007,Romance,38345403
Seven Years in Tibet,1997,Drama,37901509
The Dilemma,2011,Drama,48430355
Bad Company,2002,Adventure,30157016
Doom,2005,Sci-Fi,28031250
I Spy,2002,Thriller,33105600
Underworld: Awakening,2012,Action,62321039
Rock of Ages,2012,Musical,38509342
Hart's War,2002,Drama,19076815
Killer Elite,2011,Thriller,25093607
Rollerball,2002,Sci-Fi,18990542
Ballistic: Ecks vs. Sever,2002,Crime,14294842
Hard Rain,1998,Drama,19819494
Osmosis Jones,2001,Adventure,13596911
Blackhat,2015,Action,7097125
Sky Captain and the World of Tomorrow,2004,Thriller,37760080
Basic Instinct 2,2006,Mystery,5851188
Escape Plan,2013,Crime,25121291
The Legend of Hercules,2014,Fantasy,18821279
The Sum of All Fears,2002,Drama,118471320
The Twilight Saga: Eclipse,2010,Fantasy,300523113
The Score,2001,Thriller,71069884
Despicable Me,2010,Family,251501645
Money Train,1995,Comedy,35324232
Ted 2,2015,Comedy,81257500
Agora,2009,History,617840
Mystery Men,1999,Fantasy,29655590
Hall Pass,2011,Comedy,45045037
The Insider,1999,Thriller,28965197
Body of Lies,2008,Drama,39380442
Abraham Lincoln: Vampire Hunter,2012,Horror,37516013
Entrapment,1999,Crime,87704396
The X Files,1998,Sci-Fi,83892374
The Last Legion,2007,Action,5932060
Saving Private Ryan,1998,Action,216119491
Need for Speed,2014,Crime,43568507
What Women Want,2000,Comedy,182805123
Ice Age,2002,Adventure,176387405
Dreamcatcher,2003,Drama,33685268
Lincoln,2012,War,182204440
The Matrix,1999,Action,171383253
Apollo 13,1995,Adventure,172071312
Total Recall,1990,Action,119412921
The Santa Clause 2,2002,Fantasy,139225854
Les Misérables,2012,Musical,148775460
You've Got Mail,1998,Romance,115731542
Step Brothers,2008,Comedy,100468793
The Mask of Zorro,1998,Adventure,93771072
Due Date,2010,Drama,100448498
Unbroken,2014,Sport,115603980
Space Cowboys,2000,Action,90454043
Cliffhanger,1993,Action,84049211
Broken Arrow,1996,Thriller,70450000
The Kid,2000,Family,69688384
World Trade Center,2006,History,70236496
Mona Lisa Smile,2003,Drama,63695760
The Dictator,2012,Romance,59617068
Eyes Wide Shut,1999,Mystery,55637680
Annie,2014,Comedy,85911262
Focus,2015,Crime,53846915
This Means War,2012,Comedy,54758461
Blade: Trinity,2004,Sci-Fi,52397389
Primary Colors,1998,Drama,38966057
Resident Evil: Retribution,2012,Action,42345531
Death Race,2008,Sci-Fi,36064910
The Long Kiss Goodnight,1996,Action,33328051
Proof of Life,2000,Drama,32598931
Zathura: A Space Adventure,2005,Adventure,28045540
Fight Club,1999,Drama,37023395
We Are Marshall,2006,Drama,43532294
Hudson Hawk,1991,Action,17218080
Lucky Numbers,2000,Crime,10014234
"I, Frankenstein",2014,Sci-Fi,19059018
Oliver Twist,2005,Drama,1987287
Elektra,2005,Action,24407944
Sin City: A Dame to Kill For,2014,Crime,13750556
Random Hearts,1999,Drama,31054924
Everest,2015,Biography,43247140
Perfume: The Story of a Murderer,2006,Fantasy,2208939
Austin Powers in Goldmember,2002,Comedy,213079163
Astro Boy,2009,Family,19548064
Jurassic Park,1993,Thriller,356784000
Wyatt Earp,1994,Biography,25052000
Clear and Present Danger,1994,Action,122012710
Dragon Blade,2015,Action,72413
Littleman,2006,Crime,58255287
U-571,2000,Action,77086030
The American President,1995,Comedy,65000000
The Love Guru,2008,Sport,32178777
3000 Miles to Graceland,2001,Comedy,15738632
The Hateful Eight,2015,Mystery,54116191
Blades of Glory,2007,Comedy,118153533
